outlet,date,headline,url
NDTV,01/01/24,ISRO Launches Its First X-Ray Polarimeter To Study Black Holes,https://www.ndtvprofit.com/technology/isro-launches-first-x-ray-polarimeter-to-study-black-holes
NDTV,01/01/24,New Mission To Study Black Holes Successfully Launched: ISRO Chief,https://www.ndtv.com/india-news/isro-mission-launch-to-study-black-holes-and-neutron-stars-successful-says-isro-chief-s-somanath-4778995
NDTV,01/01/24,"MP-CG Petrol-Diesel Price: नए साल पर बदल गए पेट्रोल-डीजल के भाव, जानें अपने जिले की कीमत",https://mpcg.ndtv.in/business/petrol-diesel-price-in-madhya-pradesh-petrol-diesel-prices-changed-on-new-year-know-the-price-in-your-district-4778996
NDTV,01/01/24,DunkiBox Office Collection Day 11: Shah Rukh Khan's Film Is Still Going Strong,https://www.ndtv.com/entertainment/dunki-box-office-collection-day-11-shah-rukh-khans-film-is-still-going-strong-4779009
NDTV,01/01/24,Google Celebrates Happy New Year 2024 With Animated Festive Doodle,https://www.ndtv.com/offbeat/google-celebrates-happy-new-year-2024-with-animated-festive-doodle-4779010
NDTV,01/01/24,पूर्वी दिल्ली में आभूषण की दुकान में डकैती के आरोप में तीन गिरफ्तार,https://ndtv.in/india/three-arrested-for-robbery-at-jewelery-shop-in-east-delhi-4779024
NDTV,01/01/24,Video: Dalit Woman Beaten By Cop In Public In Bihar; Police Clarify,https://www.ndtv.com/india-news/video-dalit-woman-beaten-by-cop-in-public-view-in-bihar-police-clarify-4779037
NDTV,01/01/24,"ISRO ने किया XPoSAT उपग्रह लांच,  ""ब्लैक होल"" के बारे में खुलेंगे नए रहस्य",https://rajasthan.ndtv.in/india/isro-launches-xposat-satellite-new-secrets-about-black-hole-will-be-revealed-4779038
NDTV,01/01/24,कच्चे दूध में इन चीजों को मिलाकर अप्लाई करिए फेस पर चेहरा होगा बेदाग और खिला-खिला,https://ndtv.in/lifestyle/raw-milk-face-pack-best-face-pack-for-sensitive-skin-skin-care-tips-glowing-skin-ke-lie-kya-karen-face-par-apply-4779040
NDTV,01/01/24,"After Months Of War With Hamas, Young Israelis Hope For A Better 2024",https://www.ndtv.com/world-news/after-months-of-war-with-hamas-young-israelis-hope-for-a-better-2024-4779041
NDTV,01/01/24,"ये है 2023 की सबसे बड़ी फ्लॉप फिल्म, बॉक्स ऑफिस पर कमाए थे बस 10 हजार",https://ndtv.in/bollywood/this-film-is-the-biggest-flop-of-2023-earned-only-10-thousand-on-box-office-4779042
